title,desc
Tunay Na Ina (1939),"Magdalena becomes pregnant because she was raped by Antonio. Before his death, her father gives up the baby for adoption, thinking that no man can ever understand her past. Magdalena is engaged to Roberto, a decent, well-off young man. Haunted by her conscience, Magdalena writes Roberto a letter, admitting her past. Her aunt, afraid that the wedding may be called off, intercepts the letter and hides it. Assuming that Roberto has accepted her in spite of her past, she marries him."
Giliw Ko (1939),"Guia, a country girl, begins to sing American songs on the radio, after being infatuated with images of Hollywood and the attention lavished on her by the son of the wealthy hacienda owner. She finds fame, and moves to Manila. Eventually, she becomes disillusioned, and returns to the province, singing Filipino music. She also returns to the arms of her childhood sweetheart."
Victory Joe (1946),"A story about Rosie, believing that her boyfriend has been killed in the war, she falls in love with an American military officer."
Miss Philippines (1947),"A story about LVN Pictures a major production company searching for a new female star, held a contest entitled Miss Philippines. The daughter of a poor laundrywoman pretends to be rich to join the contest. She and her mother temporarily occupy a rich couple's residence who are currently abroad with their playboy son. The son comes home unexpectedly and plays along with the ruse."
Himala Ng Birhen Sa Antipolo (1947),"Graduating medical student Ramon falls in love with his best friend's sister Pacing, a strong devotee of the Virgin Mary of Antipolo. Though Ramon is not that religious and seldom goes to church, he courts Pacing, even going to church with her."
Sumpaan (1948),"Three brothers make a vow on their father's deathbed to be devoted to one another. As they each grow up in their own ways, they struggle to retain their bond as adults."
Sa Tokyo Ikinasal (1948),"Is a story about brothers Carlos and Fidel, who are both decorated war heroes. But their closeness will be challenged as they try to win the heart of their common love, Liling. Liling is actually their adopted sister. Now that she is of age, she is free to choose between Carlos and Fidel."
Virginia (1949),"A man and his family leave the metro for their safety during World War 2 and went to the province, as they travel the man meets a woman selling corn."
Parola (1949),A story about an innocent man who was tried for murder but while being transported by ship to a prison sank and luckily he escapes to an island inhabited by another man and his daughters and a sister who abandon city life and settles on a quiet island to ease the pain and hatred.
Ang Kandidato (1949),A comedy about small-town politics in 1949.
Biglang Yaman (1949),Mariano and Andres are balut vendors who fortuitously save Rosa's life. They adopt her and care for her as their own daughter. One day a lawyer confronts Mariano and Andres and claims that Rosa had inherited a large sum of money.
Capas (1949),"During the Japanese occupation in World War 2, a soldier was tasked by a ranking officer to go undercover and be a government official, but under Japanese governance to gain their trust and collect intel."
